sfs_code,structure,closure_date,latitude,longitude,status_category,verified_2018,last_verified
SFS_391,SFS,NA,-24.6316996,27.0335924,Active,Y,2018
SFS_392,SFS,NA,-23.09566,28.21135,Active,Y,2018
SFS_393,SFS,NA,-23.01097,28.6041,Active,Y,2018
SFS_394,SFS,NA,-23.99186,30.48777,Active,Y,2018
SFS_395,SFS,NA,-24.04529,30.74178,Active,Y,2018
SFS_396,SFS,NA,-24.07697,30.38692,Active,Y,2018
SFS_398,SFS,NA,-25.36527,30.30857,Active,Y,2018
SFS_399,SFS,NA,-24.87717,29.18288,Active,Y,2018
SFS_400,SFS,NA,-27.58777,25.65283,Active,Y,2018
SFS_401,SFS,NA,-28.88177,23.81851,Active,Y,2018
SFS_402,SFS,NA,-26.35415,24.86088,Active,Y,2018
SFS_403,SFS,NA,-26.84763,24.33064,Active,Y,2018
SFS_404,SFS,NA,-26.94739,24.79673,Active,Y,2018
SFS_405,SFS,NA,-25.65608,24.11587,Active,Y,2018
SFS_406,SFS,NA,-25.86953,24.17641,Active,Y,2018
SFS_407,SFS,NA,-25.89241,24.12229,Active,Y,2018
SFS_408,SFS,NA,-29.04764,29.45138,Active,Y,2018
SFS_409,SFS,NA,-28.78919,29.38069,Active,Y,2018
SFS_410,SFS,NA,-28.11626,30.06229,Active,Y,2018
SFS_411,SFS,NA,-28.39524,31.0245,Active,Y,2018
SFS_412,SFS,NA,-29.16528,30.33614,Active,Y,2018
SFS_413,SFS,NA,-29.82705,29.38121,Active,Y,2018
SFS_414,SFS,NA,-30.49845,29.30939,Active,Y,2018
SFS_415,SFS,NA,-30.51404,29.36189,Active,Y,2018
SFS_416,SFS,NA,-30.50421,29.51592,Active,Y,2018
SFS_417,SFS,NA,-30.45644,28.87807,Active,Y,2018
SFS_418,SFS,NA,-31.01754,28.20416,Active,Y,2018
SFS_419,SFS,NA,-31.1149441,28.335026,Active,Y,2018
SFS_420,SFS,NA,-31.06519,27.8637,Active,Y,2018
SFS_421,SFS,NA,-30.83962,27.81698,Active,Y,2018
SFS_422,SFS,NA,-30.76485,27.54717,Active,Y,2018
SFS_423,SFS,NA,-31.06003,27.67543,Active,Y,2018
SFS_424,SFS,NA,-30.7565,26.97597,Active,Y,2018
